Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DRR061467_filtered_1	0.1257779264182759	0.0
DRR061467_filtered_2	0.1461718185411351	0.0
DRR075612_filtered_1	0.0	0.0
DRR075612_filtered_2	0.0	0.0
DRR075620_filtered_1	0.0	0.0
DRR075620_filtered_2	0.0	0.0
DRR075623_filtered_1	0.0	0.0
DRR075623_filtered_2	0.0	0.0
DRR075633_filtered_1	0.0	0.0
DRR075633_filtered_2	0.0	0.0
DRR075640_filtered_1	0.0	0.0
DRR075640_filtered_2	0.0	0.0
DRR102586_filtered_1	0.0	0.0
DRR102586_filtered_2	0.0	0.0
ERR1195513_filtered_1	0.0	0.0
ERR1195513_filtered_2	0.0	0.0
ERR1263946_filtered_1	0.0	0.0
ERR1263946_filtered_2	0.0	0.0
ERR1263947_filtered_1	0.0	0.0
ERR1263947_filtered_2	0.0	0.0
ERR1263948_filtered_1	0.0	0.0
ERR1263948_filtered_2	0.0	0.0
ERR1263949_filtered_1	0.0	0.0
ERR1263949_filtered_2	0.0	0.0
ERR1263950_filtered_1	0.0	0.0
ERR1263950_filtered_2	0.0	0.0
ERR1912634_filtered_1	0.0	0.0
ERR1912634_filtered_2	0.0	0.0
ERR1912635_filtered_1	0.0	0.0
ERR1912635_filtered_2	0.0	0.0
ERR2203409_filtered_1	0.0	0.0
ERR2203409_filtered_2	0.0	0.0
ERR2796921_filtered_1	0.0	0.0
ERR2796921_filtered_2	0.0	0.0
ERR2935635_filtered_1	0.0	0.0
ERR2935635_filtered_2	0.0	0.0
ERR2935754_filtered_1	0.0	0.0
ERR2935754_filtered_2	0.0	0.0
ERR3333478_filtered_1	0.0	0.0
ERR3333478_filtered_2	0.0	0.0
ERR3333495_filtered_1	0.0	0.0
ERR3333495_filtered_2	0.0	0.0
ERR3375634_filtered_1	0.0	0.0
ERR3375634_filtered_2	0.0	0.0
ERR3375690_filtered_1	0.0	0.0
ERR3375690_filtered_2	0.0	0.0
ERR3393084_filtered_1	0.0	0.0
ERR3393084_filtered_2	0.0	0.0
ERR3393396_filtered_1	0.0	0.0
ERR3393396_filtered_2	0.0	0.0
ERR3393406_filtered_1	0.0	0.0
ERR3393406_filtered_2	0.0	0.0
ERR3393411_filtered_1	0.0	0.0
ERR3393411_filtered_2	0.0	0.0
ERR4095062_filtered_1	0.0	0.0
ERR4095062_filtered_2	0.0	0.0
ERR4131613_filtered_1	0.0	0.0
ERR4131613_filtered_2	0.0	0.0
ERR4426043_filtered_1	0.0	0.0
ERR4426043_filtered_2	0.0	0.0
ERR4452356_filtered_1	0.0	0.0
ERR4452356_filtered_2	0.0	0.0
ERR4452358_filtered_1	0.0	0.0
ERR4452358_filtered_2	0.0	0.0
ERR4452361_filtered_1	0.0	0.0
ERR4452361_filtered_2	0.0	0.0
ERR4452375_filtered_1	0.0	0.0
ERR4452375_filtered_2	0.0	0.0
ERR4452376_filtered_1	0.0	0.0
ERR4452376_filtered_2	0.0	0.0
ERR4452380_filtered_1	0.0	0.0
ERR4452380_filtered_2	0.0	0.0
ERR4452442_filtered_1	0.0	0.0
ERR4452442_filtered_2	0.0	0.0
ERR4554412_filtered_1	0.0	0.0
ERR4554412_filtered_2	0.0	0.0
ERR712515_filtered_1	0.0	0.0
ERR712515_filtered_2	0.0	0.0
ERR712516_filtered_1	0.0	0.0
ERR712516_filtered_2	0.0	0.0
ERR712617_filtered_1	0.0	0.0
ERR712617_filtered_2	0.0	0.0
ERR712662_filtered_1	0.0	0.0
ERR712662_filtered_2	0.0	0.0
ERR712691_filtered_1	0.0	0.0
ERR712691_filtered_2	0.0	0.0
ERR712769_filtered_1	0.0	0.0
ERR712769_filtered_2	0.0	0.0
SRR10006051_filtered_1	0.0	0.0
SRR10006051_filtered_2	0.0	0.0
SRR10006055_filtered_1	0.0	0.0
SRR10006055_filtered_2	0.0	0.0
SRR10006056_filtered_1	0.0	0.0
SRR10006056_filtered_2	0.0	0.0
SRR10006058_filtered_1	0.0	0.0
SRR10006058_filtered_2	0.0	0.0
SRR10006059_filtered_1	0.0	0.0
SRR10006059_filtered_2	0.0	0.0
SRR10006105_filtered_1	0.0	0.0
SRR10006105_filtered_2	0.0	0.0
SRR10006107_filtered_1	0.0	0.0
SRR10006107_filtered_2	0.0	0.0
SRR10006108_filtered_1	0.0	0.0
SRR10006108_filtered_2	0.0	0.0
SRR10094626_filtered_1	0.0	0.0
SRR10094626_filtered_2	0.0	0.0
SRR10094627_filtered_1	0.0	0.0
SRR10094627_filtered_2	0.0	0.0
SRR10103880_filtered_1	0.0	0.0
SRR10103880_filtered_2	0.0	0.0
SRR10115845_filtered_1	0.0	0.0
SRR10115845_filtered_2	0.0	0.0
SRR10126951_filtered_1	0.0	0.0
SRR10126951_filtered_2	0.0	0.0
SRR10163891_filtered_1	0.0	0.0
SRR10163891_filtered_2	0.0	0.0
SRR10173687_filtered_1	0.0	0.0
SRR10173687_filtered_2	0.0	0.0
SRR10207198_filtered_1	0.0	0.0
SRR10207198_filtered_2	0.0	0.0
SRR10230871_filtered_1	0.0	0.0
SRR10230871_filtered_2	0.0	0.0
SRR10235879_filtered_1	0.0	0.0
SRR10235879_filtered_2	0.0	0.0
SRR10272840_filtered_1	0.0	0.0
SRR10272840_filtered_2	0.0	0.0
SRR10286137_filtered_1	0.0	0.0
SRR10286137_filtered_2	0.0	0.0
SRR10286349_filtered_1	0.0	0.0
SRR10286349_filtered_2	0.0	0.0
SRR10429277_filtered_1	0.0	0.0
SRR10429277_filtered_2	0.0	0.0
SRR10429282_filtered_1	0.0	0.0
SRR10429282_filtered_2	0.0	0.0
SRR10429295_filtered_1	0.0	0.0
SRR10429295_filtered_2	0.0	0.0
SRR10429307_filtered_1	0.0	0.0
SRR10429307_filtered_2	0.0	0.0
SRR10429309_filtered_1	0.0	0.0
SRR10429309_filtered_2	0.0	0.0
SRR10429313_filtered_1	0.0	0.0
SRR10429313_filtered_2	0.0	0.0
SRR10429344_filtered_1	0.0	0.0
SRR10429344_filtered_2	0.0	0.0
SRR10429348_filtered_1	0.0	0.0
SRR10429348_filtered_2	0.0	0.0
SRR10429356_filtered_1	0.0	0.0
SRR10429356_filtered_2	0.0	0.0
SRR10429372_filtered_1	0.0	0.0
SRR10429372_filtered_2	0.0	0.0
SRR10512503_filtered_1	0.0	0.0
SRR10512503_filtered_2	0.0	0.0
SRR10512508_filtered_1	0.0	0.0
SRR10512508_filtered_2	0.0	0.0
SRR10512537_filtered_1	0.0	0.0
SRR10512537_filtered_2	0.0	0.0
SRR10512539_filtered_1	0.0	0.0
SRR10512539_filtered_2	0.0	0.0
SRR10512969_filtered_1	0.0	0.0
SRR10512969_filtered_2	0.0	0.0
SRR10525639_filtered_1	0.0	0.0
SRR10525639_filtered_2	0.0	0.0
SRR10665491_filtered_1	0.0	0.0
SRR10665491_filtered_2	0.0	0.0
SRR10665499_filtered_1	0.0	0.0
SRR10665499_filtered_2	0.0	0.0
SRR10665503_filtered_1	0.0	0.0
SRR10665503_filtered_2	0.0	0.0
SRR10665505_filtered_1	0.0	0.0
SRR10665505_filtered_2	0.0	0.0
SRR10665510_filtered_1	0.0	0.0
SRR10665510_filtered_2	0.0	0.0
SRR10665516_filtered_1	0.0	0.0
SRR10665516_filtered_2	0.0	0.0
SRR10665517_filtered_1	0.0	0.0
SRR10665517_filtered_2	0.0	0.0
SRR10665523_filtered_1	0.0	0.0
SRR10665523_filtered_2	0.0	0.0
SRR10665524_filtered_1	0.0	0.0
SRR10665524_filtered_2	0.0	0.0
SRR10665525_filtered_1	0.0	0.0
SRR10665525_filtered_2	0.0	0.0
SRR10665526_filtered_1	0.0	0.0
SRR10665526_filtered_2	0.0	0.0
SRR10665529_filtered_1	0.0	0.0
SRR10665529_filtered_2	0.0	0.0
SRR10749233_filtered_1	0.0	0.0
SRR10749233_filtered_2	0.0	0.0
SRR10750973_filtered_1	0.0	0.0
SRR10750973_filtered_2	0.0	0.0
SRR10751453_filtered_1	0.0	0.0
SRR10751453_filtered_2	0.0	0.0
SRR10751454_filtered_1	0.0	0.0
SRR10751454_filtered_2	0.0	0.0
SRR10752090_filtered_1	0.0	0.0
SRR10752090_filtered_2	0.0	0.0
SRR10761131_filtered_1	0.0	0.0
SRR10761131_filtered_2	0.0	0.0
SRR11038969_filtered_1	0.0	0.0
SRR11038969_filtered_2	0.0	0.0
SRR11038970_filtered_1	0.0	0.0
SRR11038970_filtered_2	0.0	0.0
SRR11068097_filtered_1	0.0	0.0
SRR11068097_filtered_2	0.0	0.0
SRR11341626_filtered_1	0.0	0.0
SRR11341626_filtered_2	0.0	0.0
SRR11347836_filtered_1	0.0	0.0
SRR11347836_filtered_2	0.0	0.0
SRR11454062_filtered_1	0.11119579701748825	0.419741775336792
SRR11454062_filtered_2	0.14011266648316215	0.4436901105300135
SRR11454126_filtered_1	0.0	0.0
SRR11454126_filtered_2	0.1364349820903932	0.0
SRR11454163_filtered_1	0.0	0.0
SRR11454163_filtered_2	0.0	0.0
SRR11454178_filtered_1	0.21946097363798417	1.5470747877489592
SRR11454178_filtered_2	0.2276149927155024	1.5708874098337466
SRR11454284_filtered_1	0.0	0.0
SRR11454284_filtered_2	0.0	0.0
SRR11454299_filtered_1	0.0	0.0
SRR11454299_filtered_2	0.0	0.0
SRR11454319_filtered_1	0.22424724093708792	0.13266983364340806
SRR11454319_filtered_2	0.22623412748586602	0.1524935426187165
SRR11454384_filtered_1	0.0	0.0
SRR11454384_filtered_2	0.0	0.0
SRR11486735_filtered_1	0.0	0.0
SRR11486735_filtered_2	0.0	0.0
SRR11486736_filtered_1	0.0	0.0
SRR11486736_filtered_2	0.0	0.0
SRR11486737_filtered_1	0.0	0.0
SRR11486737_filtered_2	0.0	0.0
SRR11486738_filtered_1	0.0	0.0
SRR11486738_filtered_2	0.0	0.0
SRR11486742_filtered_1	0.0	0.0
SRR11486742_filtered_2	0.0	0.0
SRR11486743_filtered_1	0.0	0.0
SRR11486743_filtered_2	0.0	0.0
SRR11486744_filtered_1	0.0	0.0
SRR11486744_filtered_2	0.0	0.0
SRR11495756_filtered_1	0.0	0.0
SRR11495756_filtered_2	0.0	0.0
SRR11727679_filtered_1	0.0	0.0
SRR11727679_filtered_2	0.0	0.0
SRR11727691_filtered_1	0.0	0.0
SRR11727691_filtered_2	0.0	0.0
SRR11727696_filtered_1	0.0	0.0
SRR11727696_filtered_2	0.0	0.0
SRR11727698_filtered_1	0.0	0.0
SRR11727698_filtered_2	0.0	0.0
SRR11727700_filtered_1	0.0	0.0
SRR11727700_filtered_2	0.0	0.0
SRR11833408_filtered_1	0.0	0.0
SRR11833408_filtered_2	0.0	0.0
SRR11903067_filtered_1	0.0	0.0
SRR11903067_filtered_2	0.0	0.0
SRR11970754_filtered_1	0.0	0.0
SRR11970754_filtered_2	0.0	0.0
SRR11971332_filtered_1	0.0	0.0
SRR11971332_filtered_2	0.0	0.0
SRR12009569_filtered_1	0.0	0.0
SRR12009569_filtered_2	0.0	0.0
SRR12009590_filtered_1	0.0	0.0
SRR12009590_filtered_2	0.0	0.0
SRR12009601_filtered_1	0.0	0.0
SRR12009601_filtered_2	0.0	0.0
SRR12072617_filtered_1	0.0	0.0
SRR12072617_filtered_2	0.0	0.0
SRR12072638_filtered_1	0.0	0.0
SRR12072638_filtered_2	0.0	0.0
SRR12072648_filtered_1	0.0	0.0
SRR12072648_filtered_2	0.0	0.0
SRR12204350_filtered_1	0.0	0.0
SRR12204350_filtered_2	0.0	0.0
SRR12204352_filtered_1	0.0	0.0
SRR12204352_filtered_2	0.0	0.0
SRR12204354_filtered_1	0.0	0.0
SRR12204354_filtered_2	0.0	0.0
SRR12204355_filtered_1	0.0	0.0
SRR12204355_filtered_2	0.0	0.0
SRR12204375_filtered_1	0.0	0.0
SRR12204375_filtered_2	0.0	0.0
SRR12204377_filtered_1	0.0	0.0
SRR12204377_filtered_2	0.0	0.0
SRR12204378_filtered_1	0.0	0.0
SRR12204378_filtered_2	0.0	0.0
SRR12204388_filtered_1	0.0	0.0
SRR12204388_filtered_2	0.0	0.0
SRR12204389_filtered_1	0.0	0.0
SRR12204389_filtered_2	0.0	0.0
SRR12204390_filtered_1	0.0	0.0
SRR12204390_filtered_2	0.0	0.0
SRR12204395_filtered_1	0.0	0.0
SRR12204395_filtered_2	0.0	0.0
SRR12204412_filtered_1	0.0	0.0
SRR12204412_filtered_2	0.0	0.0
SRR12204413_filtered_1	0.0	0.0
SRR12204413_filtered_2	0.0	0.0
SRR12204417_filtered_1	0.0	0.0
SRR12204417_filtered_2	0.0	0.0
SRR12204419_filtered_1	0.0	0.0
SRR12204419_filtered_2	0.0	0.0
SRR12204422_filtered_1	0.0	0.0
SRR12204422_filtered_2	0.0	0.0
SRR12269846_filtered_1	0.0	0.0
SRR12269846_filtered_2	0.0	0.0
SRR12352183_filtered_1	0.0	0.0
SRR12352183_filtered_2	0.0	0.0
SRR12358935_filtered_1	0.0	0.0
SRR12358935_filtered_2	0.0	0.0
SRR12462369_filtered_1	0.0	0.0
SRR12462369_filtered_2	0.0	0.0
SRR12462373_filtered_1	0.0	0.0
SRR12462373_filtered_2	0.0	0.0
SRR12508632_filtered_1	0.0	0.0
SRR12508632_filtered_2	0.0	0.0
SRR12508892_filtered_1	0.0	0.0
SRR12508892_filtered_2	0.0	0.0
SRR12509131_filtered_1	0.0	0.0
SRR12509131_filtered_2	0.0	0.0
SRR12517447_filtered_1	0.1281788237993439	0.0
SRR12517447_filtered_2	0.4022594183490597	0.0
SRR12517471_filtered_1	0.11773314368869778	0.0
SRR12517471_filtered_2	0.40707823937428234	0.0
SRR12519146_filtered_1	0.0	0.0
SRR12519146_filtered_2	0.0	0.0
SRR12569950_filtered_1	0.0	0.0
SRR12569950_filtered_2	0.0	0.0
SRR12570014_filtered_1	0.0	0.0
SRR12570014_filtered_2	0.0	0.0
SRR12570020_filtered_1	0.0	0.0
SRR12570020_filtered_2	0.0	0.0
SRR12769881_filtered_1	0.0	0.0
SRR12769881_filtered_2	0.0	0.0
SRR12902520_filtered_1	0.0	0.0
SRR12902520_filtered_2	0.0	0.0
SRR12902538_filtered_1	0.0	0.0
SRR12902538_filtered_2	0.0	0.0
SRR12902581_filtered_1	0.0	0.0
SRR12902581_filtered_2	0.0	0.0
SRR12903819_filtered_1	0.0	0.0
SRR12903819_filtered_2	0.0	0.0
SRR12903829_filtered_1	0.0	0.0
SRR12903829_filtered_2	0.0	0.0
SRR12903833_filtered_1	0.0	0.0
SRR12903833_filtered_2	0.0	0.0
SRR12903893_filtered_1	0.0	0.0
SRR12903893_filtered_2	0.0	0.0
SRR12916664_filtered_1	0.0	0.0
SRR12916664_filtered_2	0.0	0.0
SRR13000307_filtered_1	0.0	0.0
SRR13000307_filtered_2	0.0	0.0
SRR13000311_filtered_1	0.0	0.0
SRR13000311_filtered_2	0.0	0.0
SRR13000507_filtered_1	0.0	0.0
SRR13000507_filtered_2	0.0	0.0
SRR13001310_filtered_1	0.0	0.0
SRR13001310_filtered_2	0.0	0.0
SRR13001406_filtered_1	0.0	0.0
SRR13001406_filtered_2	0.0	0.0
SRR13068788_filtered_1	0.0	0.0
SRR13068788_filtered_2	0.0	0.0
SRR13080118_filtered_1	0.0	0.0
SRR13080118_filtered_2	0.0	0.0
SRR13081910_filtered_1	0.0	0.0
SRR13081910_filtered_2	0.0	0.0
SRR13085650_filtered_1	0.0	0.0
SRR13085650_filtered_2	0.0	0.0
SRR1314258_filtered_1	0.0	0.0
SRR1314258_filtered_2	0.0	0.0
SRR1314503_filtered_1	0.0	0.0
SRR1314503_filtered_2	0.0	0.0
SRR13156974_filtered_1	0.0	0.0
SRR13156974_filtered_2	0.0	0.0
SRR13158550_filtered_1	0.0	0.0
SRR13158550_filtered_2	0.0	0.0
SRR13158578_filtered_1	0.0	0.0
SRR13158578_filtered_2	0.0	0.0
SRR13195675_filtered_1	0.0	0.0
SRR13195675_filtered_2	0.0	0.0
SRR13195682_filtered_1	0.0	0.0
SRR13195682_filtered_2	0.0	0.0
SRR13195688_filtered_1	0.0	0.0
SRR13195688_filtered_2	0.0	0.0
SRR13195690_filtered_1	0.0	0.0
SRR13195690_filtered_2	0.0	0.0
SRR13195696_filtered_1	0.0	0.0
SRR13195696_filtered_2	0.0	0.0
SRR13195707_filtered_1	0.0	0.0
SRR13195707_filtered_2	0.0	0.0
SRR13362842_filtered_1	0.0	0.0
SRR13362842_filtered_2	0.0	0.0
SRR13362843_filtered_1	0.0	0.0
SRR13362843_filtered_2	0.0	0.0
SRR1508893_filtered_1	0.0	0.0
SRR1508893_filtered_2	0.0	0.0
SRR1508895_filtered_1	0.0	0.0
SRR1508895_filtered_2	0.0	0.0
SRR3095388_filtered_1	0.0	0.0
SRR3095388_filtered_2	0.0	0.0
SRR3098780_filtered_1	0.0	0.0
SRR3098780_filtered_2	0.0	0.0
SRR3466175_filtered_1	0.0	0.0
SRR3466175_filtered_2	0.0	0.0
SRR3574326_filtered_1	0.0	0.0
SRR3574326_filtered_2	0.0	0.0
SRR3929024_filtered_1	0.0	0.0
SRR3929024_filtered_2	0.0	0.0
SRR3951679_filtered_1	0.0	0.0
SRR3951679_filtered_2	0.0	0.0
SRR3957125_filtered_1	0.0	0.0
SRR3957125_filtered_2	0.0	0.0
SRR4101520_filtered_1	0.0	0.0
SRR4101520_filtered_2	0.0	0.0
SRR4294836_filtered_1	0.0	0.0
SRR4294836_filtered_2	0.0	0.0
SRR4302082_filtered_1	0.0	0.0
SRR4302082_filtered_2	0.0	0.0
SRR4302198_filtered_1	0.0	0.0
SRR4302198_filtered_2	0.0	0.0
SRR4302246_filtered_1	0.0	0.0
SRR4302246_filtered_2	0.0	0.0
SRR5024314_filtered_1	0.0	0.0
SRR5024314_filtered_2	0.0	0.0
SRR5153281_filtered_1	0.0	0.0
SRR5153281_filtered_2	0.0	0.0
SRR5153282_filtered_1	0.0	0.0
SRR5153282_filtered_2	0.0	0.0
SRR5153283_filtered_1	0.0	0.0
SRR5153283_filtered_2	0.0	0.0
SRR5153284_filtered_1	0.0	0.0
SRR5153284_filtered_2	0.0	0.0
SRR5153285_filtered_1	0.0	0.0
SRR5153285_filtered_2	0.0	0.0
SRR5153286_filtered_1	0.0	0.0
SRR5153286_filtered_2	0.0	0.0
SRR5153287_filtered_1	0.0	0.0
SRR5153287_filtered_2	0.0	0.0
SRR5153290_filtered_1	0.0	0.0
SRR5153290_filtered_2	0.0	0.0
SRR5714074_filtered_1	0.0	0.0
SRR5714074_filtered_2	0.0	0.0
SRR5884784_filtered_1	0.0	0.0
SRR5884784_filtered_2	0.0	0.0
SRR6065798_filtered_1	0.0	0.0
SRR6065798_filtered_2	0.0	0.0
SRR6065849_filtered_1	0.0	0.0
SRR6065849_filtered_2	0.0	0.0
SRR6067099_filtered_1	0.0	0.0
SRR6067099_filtered_2	0.0	0.0
SRR6376588_filtered_1	0.0	0.0
SRR6376588_filtered_2	0.0	0.0
SRR6451281_filtered_1	0.0	0.0
SRR6451281_filtered_2	0.0	0.0
SRR6451282_filtered_1	0.0	0.0
SRR6451282_filtered_2	0.0	0.0
SRR6451283_filtered_1	0.0	0.0
SRR6451283_filtered_2	0.0	0.0
SRR6451284_filtered_1	0.0	0.0
SRR6451284_filtered_2	0.0	0.0
SRR6451285_filtered_1	0.0	0.0
SRR6451285_filtered_2	0.0	0.0
SRR6451286_filtered_1	0.0	0.0
SRR6451286_filtered_2	0.0	0.0
SRR6455967_filtered_1	0.0	0.0
SRR6455967_filtered_2	0.0	0.0
SRR6455974_filtered_1	0.0	0.0
SRR6455974_filtered_2	0.0	0.0
SRR6455982_filtered_1	0.10052211138221386	0.0
SRR6455982_filtered_2	0.0	0.0
SRR6455985_filtered_1	0.0	0.0
SRR6455985_filtered_2	0.0	0.0
SRR6474927_filtered_1	0.0	0.0
SRR6474927_filtered_2	0.0	0.0
SRR6515382_filtered_1	0.0	0.0
SRR6515382_filtered_2	0.0	0.0
SRR6515383_filtered_1	0.0	0.0
SRR6515383_filtered_2	0.0	0.0
SRR6686320_filtered_1	0.0	0.0
SRR6686320_filtered_2	0.0	0.0
SRR6703063_filtered_1	0.0	0.0
SRR6703063_filtered_2	0.0	0.0
