Sample	Unique Reads	Duplicate Reads
DRR061467_filtered_1	1905178.0	232717.0
DRR061467_filtered_2	1879168.0	258727.0
DRR075612_filtered_1	611022.0	198795.0
DRR075612_filtered_2	624234.0	185583.0
DRR075620_filtered_1	309551.0	37056.0
DRR075620_filtered_2	313794.0	32813.0
DRR075623_filtered_1	301355.0	41097.0
DRR075623_filtered_2	304851.0	37601.0
DRR075633_filtered_1	633701.0	140518.0
DRR075633_filtered_2	639683.0	134536.0
DRR075640_filtered_1	377010.0	58195.0
DRR075640_filtered_2	380775.0	54430.0
DRR102586_filtered_1	780974.0	211906.0
DRR102586_filtered_2	787101.0	205779.0
ERR1195513_filtered_1	540839.0	131699.0
ERR1195513_filtered_2	550124.0	122414.0
ERR1263946_filtered_1	839123.0	337798.0
ERR1263946_filtered_2	851518.0	325403.0
ERR1263947_filtered_1	814421.0	352625.0
ERR1263947_filtered_2	823717.0	343329.0
ERR1263948_filtered_1	808382.0	348177.0
ERR1263948_filtered_2	819208.0	337351.0
ERR1263949_filtered_1	752173.0	280195.0
ERR1263949_filtered_2	760077.0	272291.0
ERR1263950_filtered_1	782655.0	312708.0
ERR1263950_filtered_2	791914.0	303449.0
ERR1912634_filtered_1	3030524.0	866296.0
ERR1912634_filtered_2	3083967.0	812853.0
ERR1912635_filtered_1	3124459.0	826478.0
ERR1912635_filtered_2	3164796.0	786141.0
ERR2203409_filtered_1	1138676.0	492389.0
ERR2203409_filtered_2	1154041.0	477024.0
ERR2796921_filtered_1	1260858.0	650246.0
ERR2796921_filtered_2	1282928.0	628176.0
ERR2935635_filtered_1	715685.0	204438.0
ERR2935635_filtered_2	719624.0	200499.0
ERR2935754_filtered_1	512228.0	89291.0
ERR2935754_filtered_2	515224.0	86295.0
ERR3333478_filtered_1	1097325.0	248960.0
ERR3333478_filtered_2	1110979.0	235306.0
ERR3333495_filtered_1	846412.0	181831.0
ERR3333495_filtered_2	858394.0	169849.0
ERR3375634_filtered_1	1452147.0	1045023.0
ERR3375634_filtered_2	1516716.0	980454.0
ERR3375690_filtered_1	1574130.0	1297857.0
ERR3375690_filtered_2	1667647.0	1204340.0
ERR3393084_filtered_1	755432.0	157323.0
ERR3393084_filtered_2	761570.0	151185.0
ERR3393396_filtered_1	1131903.0	271322.0
ERR3393396_filtered_2	1125006.0	278219.0
ERR3393406_filtered_1	171591.0	19003.0
ERR3393406_filtered_2	172093.0	18501.0
ERR3393411_filtered_1	343364.0	24350.0
ERR3393411_filtered_2	343739.0	23975.0
ERR4095062_filtered_1	536762.0	97640.0
ERR4095062_filtered_2	543137.0	91265.0
ERR4131613_filtered_1	1985126.0	1664777.0
ERR4131613_filtered_2	2073864.0	1576039.0
ERR4426043_filtered_1	1821972.0	1339383.0
ERR4426043_filtered_2	1841709.0	1319646.0
ERR4452356_filtered_1	1230134.0	788881.0
