Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DRR061467_filtered_1	DRR061467_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2137895.0	0.0	36-125	50.0	89.11462523735082	120.95113838612279	pass	fail	warn	pass	warn	warn	pass	warn	pass	warn	pass
DRR061467_filtered_2	DRR061467_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2137895.0	0.0	36-125	50.0	87.89804073880921	120.7917198926982	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
DRR075612_filtered_1	DRR075612_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	809817.0	0.0	36-301	50.0	75.45185277279346	226.19166799412707	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075612_filtered_2	DRR075612_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	809817.0	0.0	36-301	50.0	77.08326930855338	188.00182633854314	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075620_filtered_1	DRR075620_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	346607.0	0.0	36-301	50.0	89.30873195313053	252.05186565764686	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075620_filtered_2	DRR075620_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	346607.0	0.0	36-301	50.0	90.53298524435223	194.07252017414535	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075623_filtered_1	DRR075623_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	342452.0	0.0	36-301	50.0	87.99906739234234	249.56520913879902	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075623_filtered_2	DRR075623_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	342452.0	0.0	36-301	50.0	89.02005283939825	195.4653002464579	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075633_filtered_1	DRR075633_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	774219.0	0.0	36-301	50.0	81.8502373420077	243.6140471881987	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075633_filtered_2	DRR075633_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	774219.0	0.0	36-301	50.0	82.62293152129757	198.06055521758054	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075640_filtered_1	DRR075640_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	435205.0	0.0	36-301	51.0	86.62796348009046	260.83303960202664	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR075640_filtered_2	DRR075640_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	435205.0	0.0	36-301	51.0	87.49312524613974	209.18436828620995	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
DRR102586_filtered_1	DRR102586_filtered_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	992880.0	0.0	36-301	50.0	78.65743054393886	209.2101422125534	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
DRR102586_filtered_2	DRR102586_filtered_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	992880.0	0.0	36-301	50.0	79.27452230060352	182.06371666263797	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
