Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DRR061467_1	0.15843543276934127	0.0
DRR061467_2	0.1665916970045712	0.0
DRR075612_1	0.0	0.0
DRR075612_2	0.0	0.0
DRR075620_1	0.0	0.0
DRR075620_2	0.0	0.0
DRR075623_1	0.0	0.0
DRR075623_2	0.0	0.0
DRR075633_1	0.0	0.0
DRR075633_2	0.0	0.0
DRR075640_1	0.0	0.0
DRR075640_2	0.0	0.0
DRR102586_1	0.0	0.0
DRR102586_2	0.0	0.0
ERR1195513_1	0.0	0.0
ERR1195513_2	0.0	0.0
ERR1263946_1	0.0	0.0
ERR1263946_2	0.0	0.0
ERR1263947_1	0.0	0.0
ERR1263947_2	0.0	0.0
ERR1263948_1	0.0	0.0
ERR1263948_2	0.0	0.0
ERR1263949_1	0.0	0.0
ERR1263949_2	0.0	0.0
ERR1263950_1	0.0	0.0
ERR1263950_2	0.0	0.0
ERR1912634_1	0.0	0.0
ERR1912634_2	0.0	0.0
ERR1912635_1	0.0	0.0
ERR1912635_2	0.0	0.0
ERR2203409_1	0.0	0.0
ERR2203409_2	0.0	0.0
ERR2796921_1	0.0	0.0
ERR2796921_2	0.0	0.0
ERR2935635_1	0.0	0.0
ERR2935635_2	0.0	0.0
ERR2935754_1	0.0	0.0
ERR2935754_2	0.0	0.0
ERR3333478_1	0.22457781732937468	0.0
ERR3333478_2	0.22424967908079288	0.0
ERR3333495_1	0.1652514076407445	0.0
ERR3333495_2	0.16507727549359932	0.0
ERR3375634_1	0.0	0.0
ERR3375634_2	0.0	0.0
ERR3375690_1	0.0	0.0
ERR3375690_2	0.0	0.0
ERR3393084_1	0.0	0.0
ERR3393084_2	0.0	0.0
ERR3393396_1	0.0	0.0
ERR3393396_2	0.0	0.0
ERR3393406_1	0.18865987947272986	0.0
ERR3393406_2	0.1915924164593526	0.0
ERR3393411_1	0.20512168504921435	0.0
ERR3393411_2	0.20851212612440798	0.0
ERR4095062_1	0.0	0.0
ERR4095062_2	0.0	0.0
ERR4131613_1	0.0	0.0
ERR4131613_2	0.0	0.0
ERR4426043_1	0.0	0.0
ERR4426043_2	0.0	0.0
ERR4452356_1	0.0	0.0
ERR4452356_2	0.0	0.0
ERR4452358_1	0.0	0.0
ERR4452358_2	0.0	0.0
ERR4452361_1	0.0	0.0
ERR4452361_2	0.0	0.0
ERR4452375_1	0.0	0.0
ERR4452375_2	0.0	0.0
ERR4452376_1	0.0	0.0
ERR4452376_2	0.0	0.0
ERR4452380_1	0.0	0.0
ERR4452380_2	0.0	0.0
ERR4452442_1	0.0	0.0
ERR4452442_2	0.0	0.0
ERR4554412_1	0.0	0.0
ERR4554412_2	0.0	0.0
ERR712515_1	0.0	0.0
ERR712515_2	0.0	0.0
ERR712516_1	0.0	0.0
ERR712516_2	0.0	0.0
ERR712617_1	0.0	0.0
ERR712617_2	0.0	0.0
ERR712662_1	0.0	0.0
ERR712662_2	0.0	0.0
ERR712691_1	0.0	0.0
ERR712691_2	0.0	0.0
ERR712769_1	0.0	0.0
ERR712769_2	0.0	0.0
SRR10006051_1	0.0	0.0
SRR10006051_2	0.0	0.0
SRR10006055_1	0.0	0.0
SRR10006055_2	0.0	0.0
SRR10006056_1	0.0	0.0
SRR10006056_2	0.0	0.0
SRR10006058_1	0.0	0.0
SRR10006058_2	0.0	0.0
SRR10006059_1	0.0	0.0
SRR10006059_2	0.0	0.0
SRR10006105_1	0.0	0.0
SRR10006105_2	0.0	0.0
SRR10006107_1	0.0	0.0
SRR10006107_2	0.0	0.0
SRR10006108_1	0.0	0.0
SRR10006108_2	0.0	0.0
SRR10094626_1	0.0	0.0
SRR10094626_2	0.0	0.0
SRR10094627_1	0.0	0.0
SRR10094627_2	0.0	0.0
SRR10103880_1	0.14727505030592988	0.0
SRR10103880_2	0.1034417565108698	0.0
SRR10115845_1	0.0	0.0
SRR10115845_2	0.0	0.0
SRR10126951_1	0.0	0.0
SRR10126951_2	0.0	0.0
SRR10163891_1	0.0	0.0
SRR10163891_2	0.0	0.0
SRR10173687_1	0.0	0.0
SRR10173687_2	0.0	0.0
SRR10207198_1	0.0	0.0
SRR10207198_2	0.0	0.0
SRR10230871_1	0.0	0.0
SRR10230871_2	0.0	0.0
SRR10235879_1	0.0	0.0
SRR10235879_2	0.0	0.0
SRR10272840_1	0.0	0.0
SRR10272840_2	0.0	0.0
SRR10286137_1	0.0	0.0
SRR10286137_2	0.0	0.0
SRR10286349_1	0.16809534940457715	0.0
SRR10286349_2	0.1674566892624625	0.0
SRR10429277_1	0.0	0.0
SRR10429277_2	0.0	0.0
SRR10429282_1	0.0	0.0
SRR10429282_2	0.0	0.0
SRR10429295_1	0.0	0.0
SRR10429295_2	0.0	0.0
SRR10429307_1	0.0	0.0
SRR10429307_2	0.0	0.0
SRR10429309_1	0.0	0.0
SRR10429309_2	0.0	0.0
SRR10429313_1	0.0	0.0
SRR10429313_2	0.0	0.0
SRR10429344_1	0.0	0.0
SRR10429344_2	0.0	0.0
SRR10429348_1	0.0	0.0
SRR10429348_2	0.0	0.0
SRR10429356_1	0.0	0.0
SRR10429356_2	0.0	0.0
SRR10429372_1	0.0	0.0
SRR10429372_2	0.0	0.0
SRR10512503_1	0.0	0.0
SRR10512503_2	0.0	0.0
SRR10512508_1	0.0	0.0
SRR10512508_2	0.0	0.0
SRR10512537_1	0.0	0.0
SRR10512537_2	0.0	0.0
SRR10512539_1	0.0	0.0
SRR10512539_2	0.0	0.0
SRR10512969_1	0.0	0.0
SRR10512969_2	0.0	0.0
SRR10525639_1	0.0	0.0
SRR10525639_2	0.0	0.0
SRR10665491_1	0.0	0.0
SRR10665491_2	0.0	0.0
SRR10665499_1	0.0	0.0
SRR10665499_2	0.0	0.0
SRR10665503_1	0.0	0.0
SRR10665503_2	0.0	0.0
SRR10665505_1	0.0	0.0
SRR10665505_2	0.0	0.0
SRR10665510_1	0.0	0.0
SRR10665510_2	0.0	0.0
SRR10665516_1	0.0	0.0
SRR10665516_2	0.0	0.0
SRR10665517_1	0.0	0.0
SRR10665517_2	0.0	0.0
SRR10665523_1	0.0	0.0
SRR10665523_2	0.0	0.0
SRR10665524_1	0.0	0.0
SRR10665524_2	0.0	0.0
SRR10665525_1	0.0	0.0
SRR10665525_2	0.0	0.0
SRR10665526_1	0.0	0.0
SRR10665526_2	0.0	0.0
SRR10665529_1	0.0	0.0
SRR10665529_2	0.0	0.0
SRR10749233_1	0.0	0.0
SRR10749233_2	0.0	0.0
SRR10750973_1	0.0	0.0
SRR10750973_2	0.0	0.0
SRR10751453_1	0.0	0.0
SRR10751453_2	0.0	0.0
SRR10751454_1	0.0	0.0
SRR10751454_2	0.0	0.0
