Sample	Unique Reads	Duplicate Reads
DRR061467_1	2160091.0	292012.0
DRR061467_2	2119600.0	332503.0
DRR075612_1	728941.0	259401.0
DRR075612_2	759325.0	229017.0
DRR075620_1	358644.0	48733.0
DRR075620_2	366844.0	40533.0
DRR075623_1	347231.0	52762.0
DRR075623_2	353751.0	46242.0
DRR075633_1	713682.0	176007.0
DRR075633_2	727144.0	162545.0
DRR075640_1	420566.0	71460.0
DRR075640_2	428728.0	63298.0
DRR102586_1	850518.0	254214.0
DRR102586_2	862517.0	242215.0
ERR1195513_1	599359.0	159126.0
ERR1195513_2	616738.0	141747.0
ERR1263946_1	1080263.0	518970.0
ERR1263946_2	1094336.0	504897.0
ERR1263947_1	929828.0	448899.0
ERR1263947_2	942543.0	436184.0
ERR1263948_1	881731.0	413946.0
ERR1263948_2	894589.0	401088.0
ERR1263949_1	815020.0	329219.0
ERR1263949_2	823468.0	320771.0
ERR1263950_1	1000225.0	466714.0
ERR1263950_2	1010425.0	456514.0
ERR1912634_1	3493091.0	1241489.0
ERR1912634_2	3619088.0	1115492.0
ERR1912635_1	3579481.0	1168055.0
ERR1912635_2	3686416.0	1061120.0
ERR2203409_1	1195112.0	541301.0
ERR2203409_2	1210562.0	525851.0
ERR2796921_1	1298365.0	695695.0
ERR2796921_2	1332686.0	661374.0
ERR2935635_1	752442.0	228927.0
ERR2935635_2	760687.0	220682.0
ERR2935754_1	542263.0	101692.0
ERR2935754_2	546964.0	96991.0
ERR3333478_1	1215183.0	308565.0
ERR3333478_2	1243284.0	280464.0
ERR3333495_1	929318.0	219235.0
ERR3333495_2	949930.0	198623.0
ERR3375634_1	1586985.0	1323422.0
ERR3375634_2	1722728.0	1187679.0
ERR3375690_1	1728927.0	1636610.0
ERR3375690_2	1906506.0	1459031.0
ERR3393084_1	868339.0	207145.0
ERR3393084_2	877455.0	198029.0
ERR3393396_1	1362362.0	386048.0
ERR3393396_2	1347097.0	401313.0
ERR3393406_1	191478.0	13123.0
ERR3393406_2	191806.0	12795.0
ERR3393411_1	433080.0	38835.0
ERR3393411_2	433286.0	38629.0
ERR4095062_1	580248.0	113317.0
ERR4095062_2	592232.0	101333.0
ERR4131613_1	1990708.0	1758600.0
ERR4131613_2	2039038.0	1710270.0
ERR4426043_1	2326400.0	2155928.0
ERR4426043_2	2351176.0	2131152.0
ERR4452356_1	2180419.0	2064106.0
ERR4452356_2	2392313.0	1852212.0
ERR4452358_1	1655043.0	872316.0
ERR4452358_2	1787994.0	739365.0
ERR4452361_1	1778033.0	125171.0
ERR4452361_2	1276647.0	626557.0
ERR4452375_1	2060841.0	184876.0
