Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DRR061467_1	DRR061467_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2452103.0	0.0	125.0	50.0	88.09134055484154	125.0	pass	fail	warn	pass	warn	warn	pass	pass	pass	warn	pass
DRR061467_2	DRR061467_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2452103.0	0.0	125.0	50.0	86.44007528830096	125.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
DRR075612_1	DRR075612_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	988342.0	0.0	35-301	51.0	73.75386694668741	268.0572251305722	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
DRR075612_2	DRR075612_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	988342.0	0.0	35-301	51.0	76.8280994859536	269.1715701649834	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass
DRR075620_1	DRR075620_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407377.0	0.0	35-301	51.0	88.03715526204932	284.0959970739634	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
DRR075620_2	DRR075620_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	407377.0	0.0	35-301	51.0	90.05019887409242	285.57706252439385	pass	fail		pass	fail	fail	pass	warn	pass	pass	pass
DRR075623_1	DRR075623_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	399993.0	0.0	35-301	51.0	86.80910188446066	279.65727150225126	pass	warn		pass	fail	warn	pass	warn	pass	pass	pass
DRR075623_2	DRR075623_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	399993.0	0.0	35-301	51.0	88.43924642010369	281.36641891233097	pass	fail		pass	fail	fail	pass	warn	pass	pass	pass
DRR075633_1	DRR075633_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	889689.0	0.0	35-301	50.0	80.2170010974796	283.92020020479066	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass
DRR075633_2	DRR075633_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	889689.0	0.0	35-301	51.0	81.73007630314005	285.5879571400793	pass	fail		pass	fail	fail	pass	warn	pass	pass	pass
