Sample	Top over-represented sequence	Sum of remaining over-represented sequences
DRR089062_1	0.0	0.0
DRR089062_2	0.0	0.0
DRR138472_2	0.0	0.0
DRR165509_1	0.2850717586976826	0.0
DRR165509_2	0.0	0.0
ERR1351670_1	0.0	0.0
ERR1351670_2	0.0	0.0
ERR1656423_1	0.0	0.0
ERR1656423_2	0.0	0.0
ERR1720662_1	2.3621609146649534	0.4402168150148764
ERR1720662_2	0.6610654041994914	0.45468778263608645
ERR1720663_1	3.9830478487800627	1.1694450003918226
ERR1720663_2	1.3171393426987326	1.158150400229622
ERR1720664_1	11.107738101947712	0.6120586416429976
ERR1720664_2	3.9891577406090306	0.23996574041934782
ERR1720665_1	3.086671705735866	0.4664366937552198
ERR1720665_2	0.7513762955015573	0.4597860678118304
ERR1725935_1	3.2468338914813404	0.5610818387890006
ERR1725935_2	3.610449049060508	0.34487823157976605
ERR1725936_1	0.4796237135487943	0.44548119887397086
ERR1725936_2	0.5779519095942152	0.43863023375829924
ERR1725937_1	0.2467680707324963	0.2365805686410839
ERR1725937_2	0.26889056614997936	0.24423978554192677
ERR1981602_1	0.0	0.0
ERR1981602_2	0.0	0.0
ERR2019109_1	0.0	0.0
ERR2019109_2	0.0	0.0
ERR2019135_1	0.0	0.0
ERR2019135_2	0.0	0.0
ERR2019163_1	0.0	0.0
ERR2019163_2	0.0	0.0
ERR2019177_1	0.0	0.0
ERR2019177_2	0.0	0.0
ERR2019228_1	0.0	0.0
ERR2019228_2	0.0	0.0
ERR2019230_1	0.0	0.0
ERR2019230_2	0.0	0.0
ERR2019239_1	0.0	0.0
ERR2019239_2	0.0	0.0
ERR2019250_1	0.0	0.0
ERR2019250_2	0.0	0.0
ERR2088799_1	0.0	0.0
ERR2088799_2	0.0	0.0
ERR2193921_1	0.0	0.0
ERR2193921_2	0.0	0.0
ERR2203411_1	0.0	0.0
ERR2203411_2	0.0	0.0
ERR2538143_1	0.0	0.0
ERR2538143_2	0.0	0.0
ERR2538150_1	0.0	0.0
ERR2538150_2	0.0	0.0
ERR2538192_1	0.0	0.0
ERR2538192_2	0.0	0.0
ERR2538545_1	0.0	0.0
ERR2538545_2	0.0	0.0
ERR2538546_1	0.0	0.0
ERR2538546_2	0.0	0.0
ERR2538560_1	0.0	0.0
ERR2538560_2	0.0	0.0
ERR2540224_1	0.0	0.0
ERR2540224_2	0.0	0.0
ERR2639269_1	0.0	0.0
ERR2639269_2	0.0	0.0
ERR2639270_1	0.0	0.0
ERR2639270_2	0.0	0.0
ERR2639271_1	0.0	0.0
ERR2639271_2	0.0	0.0
ERR2639272_1	0.0	0.0
ERR2639272_2	0.0	0.0
ERR2639273_1	0.0	0.0
ERR2639273_2	0.0	0.0
ERR2639274_1	0.0	0.0
ERR2639274_2	0.0	0.0
ERR2639275_1	0.0	0.0
ERR2639275_2	0.0	0.0
ERR2639276_1	0.0	0.0
ERR2639276_2	0.0	0.0
ERR2639277_1	0.0	0.0
ERR2639277_2	0.0	0.0
ERR2639278_1	0.0	0.0
ERR2639278_2	0.0	0.0
ERR2639279_1	0.0	0.0
ERR2639279_2	0.0	0.0
ERR2639280_1	0.0	0.0
ERR2639280_2	0.0	0.0
ERR2639281_1	0.0	0.0
ERR2639281_2	0.0	0.0
ERR2639282_1	0.0	0.0
ERR2639282_2	0.0	0.0
ERR2639283_1	0.0	0.0
ERR2639283_2	0.0	0.0
ERR2639284_1	0.0	0.0
ERR2639284_2	0.0	0.0
ERR2639285_1	0.0	0.0
ERR2639285_2	0.0	0.0
ERR2639288_1	0.0	0.0
ERR2639288_2	0.0	0.0
ERR2639289_1	0.0	0.0
ERR2639289_2	0.0	0.0
ERR2639290_1	0.0	0.0
ERR2639290_2	0.0	0.0
ERR2639291_1	0.0	0.0
ERR2639291_2	0.0	0.0
ERR2639292_1	0.0	0.0
ERR2639292_2	0.0	0.0
ERR2639293_1	0.0	0.0
ERR2639293_2	0.0	0.0
ERR2639294_1	0.0	0.0
ERR2639294_2	0.0	0.0
ERR2639295_1	0.0	0.0
ERR2639295_2	0.0	0.0
ERR2639296_1	0.0	0.0
ERR2639296_2	0.0	0.0
ERR2639297_1	0.0	0.0
ERR2639297_2	0.0	0.0
ERR2639298_1	0.0	0.0
ERR2639298_2	0.0	0.0
ERR2639299_1	0.0	0.0
ERR2639299_2	0.0	0.0
ERR2639300_1	0.0	0.0
ERR2639300_2	0.0	0.0
ERR2639301_1	0.0	0.0
ERR2639301_2	0.0	0.0
ERR2639302_1	0.0	0.0
ERR2639302_2	0.0	0.0
ERR2639303_1	0.0	0.0
ERR2639303_2	0.0	0.0
ERR2639304_1	0.0	0.0
ERR2639304_2	0.0	0.0
ERR2639305_1	0.0	0.0
ERR2639305_2	0.0	0.0
ERR2639306_1	0.0	0.0
ERR2639306_2	0.0	0.0
ERR2639307_1	0.0	0.0
ERR2639307_2	0.0	0.0
ERR2639308_1	0.0	0.0
ERR2639308_2	0.0	0.0
ERR2639309_1	0.0	0.0
ERR2639309_2	0.0	0.0
ERR2639310_1	0.0	0.0
ERR2639310_2	0.0	0.0
ERR2639312_1	0.0	0.0
ERR2639312_2	0.0	0.0
ERR2639313_1	0.0	0.0
ERR2639313_2	0.0	0.0
ERR2639314_1	0.0	0.0
ERR2639314_2	0.0	0.0
ERR2639315_1	0.0	0.0
ERR2639315_2	0.0	0.0
ERR2639316_1	0.0	0.0
ERR2639316_2	0.0	0.0
ERR2639317_1	0.0	0.0
ERR2639317_2	0.0	0.0
ERR2639318_1	0.0	0.0
ERR2639318_2	0.0	0.0
ERR2639319_1	0.0	0.0
ERR2639319_2	0.0	0.0
ERR2639320_1	0.0	0.0
ERR2639320_2	0.0	0.0
ERR2639321_1	0.0	0.0
ERR2639321_2	0.0	0.0
ERR2796909_1	0.0	0.0
ERR2796909_2	0.0	0.0
ERR2796965_1	0.0	0.0
ERR2796965_2	0.0	0.0
ERR2796982_1	0.0	0.0
ERR2796982_2	0.0	0.0
ERR2861372_1	0.0	0.0
ERR2861372_2	0.0	0.0
ERR2861373_1	0.0	0.0
ERR2861373_2	0.0	0.0
ERR2935295_1	0.0	0.0
ERR2935295_2	0.0	0.0
ERR2935348_1	0.0	0.0
ERR2935348_2	0.0	0.0
ERR2935512_1	0.0	0.0
ERR2935512_2	0.0	0.0
ERR2935604_1	0.0	0.0
ERR2935604_2	0.0	0.0
ERR2935664_1	0.0	0.0
ERR2935664_2	0.0	0.0
ERR2935696_1	0.0	0.0
ERR2935696_2	0.0	0.0
ERR2935763_1	0.0	0.0
ERR2935763_2	0.0	0.0
ERR2987479_1	0.0	0.0
ERR2987479_2	0.0	0.0
ERR2987480_1	0.0	0.0
ERR2987480_2	0.0	0.0
ERR2987481_1	0.0	0.0
ERR2987481_2	0.0	0.0
ERR2987482_1	0.0	0.0
ERR2987482_2	0.0	0.0
ERR3094184_1	0.0	0.0
ERR3094184_2	0.0	0.0
ERR3328925_1	0.0	0.0
ERR3328925_2	0.0	0.0
ERR3393143_1	0.0	0.0
ERR3393143_2	0.0	0.0
ERR3393154_1	0.0	0.0
ERR3393154_2	0.0	0.0
ERR3393304_1	0.0	0.0
ERR3393304_2	0.0	0.0
ERR3393324_1	0.0	0.0
ERR3393324_2	0.0	0.0
ERR3393351_1	0.0	0.0
ERR3393351_2	0.0	0.0
ERR3393401_1	0.0	0.0
ERR3393401_2	0.0	0.0
ERR3393405_1	0.0	0.0
ERR3393405_2	0.0	0.0
ERR3393409_1	0.0	0.0
ERR3393409_2	0.0	0.0
ERR3393430_1	0.3872272639793514	0.0
ERR3393430_2	0.3840141720541164	0.0
ERR4014049_1	0.0	0.0
ERR4014049_2	0.0	0.0
ERR4014311_1	0.0	0.0
ERR4014311_2	0.0	0.0
ERR4019889_1	0.0	0.0
ERR4019889_2	0.0	0.0
ERR4095070_1	0.0	0.0
ERR4095070_2	0.0	0.0
ERR4180575_1	0.0	0.0
ERR4180575_2	0.0	0.0
ERR4180576_1	0.0	0.0
ERR4180576_2	0.0	0.0
ERR4180577_1	0.0	0.0
ERR4180577_2	0.0	0.0
ERR4180578_1	0.0	0.0
ERR4180578_2	0.0	0.0
ERR4180579_1	0.0	0.0
ERR4180579_2	0.0	0.0
ERR4180580_1	0.0	0.0
ERR4180580_2	0.0	0.0
ERR4180581_1	0.0	0.0
ERR4180581_2	0.0	0.0
ERR4180582_1	0.0	0.0
ERR4180582_2	0.0	0.0
ERR4180583_1	0.3500437289315706	0.0
ERR4180583_2	0.3463642719062135	0.0
ERR4180584_1	0.0	0.0
ERR4180584_2	0.0	0.0
ERR4180585_1	0.0	0.0
ERR4180585_2	0.0	0.0
ERR4180586_1	0.0	0.0
ERR4180586_2	0.0	0.0
ERR4220727_1	0.0	0.0
ERR4220727_2	0.0	0.0
ERR4220805_1	0.0	0.0
ERR4220805_2	0.0	0.0
ERR4220853_1	0.0	0.0
ERR4220853_2	0.0	0.0
ERR4221047_1	0.0	0.0
ERR4221047_2	0.0	0.0
ERR4342172_1	0.0	0.0
ERR4342172_2	0.0	0.0
ERR4342187_1	0.0	0.0
ERR4342187_2	0.0	0.0
ERR4426082_1	0.0	0.0
ERR4426082_2	0.0	0.0
ERR4426173_1	0.0	0.0
ERR4426173_2	0.0	0.0
ERR4554406_1	0.15387558818262717	0.0
ERR4554406_2	0.15602031430110183	0.0
ERR4557056_1	0.0	0.0
ERR4557056_2	0.0	0.0
ERR712485_1	0.0	0.0
ERR712485_2	0.0	0.0
ERR712511_1	0.0	0.0
ERR712511_2	0.0	0.0
ERR712587_1	0.0	0.0
ERR712587_2	0.0	0.0
ERR712589_1	0.0	0.0
ERR712589_2	0.0	0.0
ERR712630_1	0.0	0.0
