Sample	Unique Reads	Duplicate Reads
DRR089062_1	873256.0	284441.0
DRR089062_2	935607.0	222090.0
DRR138472_2	1475854.0	171756.0
DRR165509_1	1427674.0	192269.0
DRR165509_2	1442825.0	177118.0
ERR1351670_1	1493469.0	825993.0
ERR1351670_2	1606597.0	712865.0
ERR1656423_1	569683.0	100288.0
ERR1656423_2	579583.0	90388.0
ERR1720662_1	5866112.0	6157963.0
ERR1720662_2	6727828.0	5296247.0
ERR1720663_1	6412613.0	9780966.0
ERR1720663_2	7856709.0	8336870.0
ERR1720664_1	7035608.0	13546080.0
ERR1720664_2	10489363.0	10092325.0
ERR1720665_1	6185325.0	9046324.0
ERR1720665_2	7432516.0	7799133.0
ERR1725935_1	1160625.0	691333.0
ERR1725935_2	1368150.0	483808.0
ERR1725936_1	1103804.0	676967.0
ERR1725936_2	1282714.0	498057.0
ERR1725937_1	1610656.0	1078914.0
ERR1725937_2	1869729.0	819841.0
ERR1981602_1	2635905.0	514789.0
ERR1981602_2	2662662.0	488032.0
ERR2019109_1	1636819.0	589172.0
ERR2019109_2	1687068.0	538923.0
ERR2019135_1	1633779.0	374728.0
ERR2019135_2	1672357.0	336150.0
ERR2019163_1	851961.0	195267.0
ERR2019163_2	874157.0	173071.0
ERR2019177_1	1521482.0	309884.0
ERR2019177_2	1552146.0	279220.0
ERR2019228_1	1078484.0	271453.0
ERR2019228_2	1122534.0	227403.0
ERR2019230_1	721134.0	109143.0
ERR2019230_2	718893.0	111384.0
ERR2019239_1	1603330.0	295706.0
ERR2019239_2	1636672.0	262364.0
ERR2019250_1	1696242.0	379603.0
ERR2019250_2	1727658.0	348187.0
ERR2088799_1	1023884.0	430197.0
ERR2088799_2	1060526.0	393555.0
ERR2193921_1	2324963.0	2042792.0
ERR2193921_2	2353637.0	2014118.0
ERR2203411_1	773557.0	214530.0
ERR2203411_2	784886.0	203201.0
ERR2538143_1	1028252.0	382636.0
ERR2538143_2	1040353.0	370535.0
ERR2538150_1	1063718.0	496798.0
ERR2538150_2	1076207.0	484309.0
ERR2538192_1	684895.0	248348.0
ERR2538192_2	689476.0	243767.0
ERR2538545_1	1072487.0	483805.0
ERR2538545_2	1074163.0	482129.0
ERR2538546_1	1144082.0	517945.0
ERR2538546_2	1147504.0	514523.0
ERR2538560_1	827876.0	227579.0
ERR2538560_2	838214.0	217241.0
ERR2540224_1	360063.0	85216.0
ERR2540224_2	368522.0	76757.0
ERR2639269_1	1345823.0	629858.0
ERR2639269_2	1417907.0	557774.0
ERR2639270_1	1123074.0	479701.0
ERR2639270_2	1141980.0	460795.0
ERR2639271_1	1771406.0	1127499.0
ERR2639271_2	1831993.0	1066912.0
ERR2639272_1	1348131.0	634994.0
ERR2639272_2	1353880.0	629245.0
ERR2639273_1	712630.0	163355.0
ERR2639273_2	731457.0	144528.0
ERR2639274_1	1290855.0	551188.0
ERR2639274_2	1326222.0	515821.0
ERR2639275_1	1732713.0	1285095.0
ERR2639275_2	1790061.0	1227747.0
ERR2639276_1	1801812.0	1476178.0
ERR2639276_2	1837814.0	1440176.0
ERR2639277_1	767114.0	247950.0
ERR2639277_2	776541.0	238523.0
ERR2639278_1	2019931.0	1192993.0
ERR2639278_2	2041854.0	1171070.0
ERR2639279_1	2408566.0	2998768.0
ERR2639279_2	2531664.0	2875670.0
ERR2639280_1	1726127.0	1337912.0
ERR2639280_2	1768034.0	1296005.0
ERR2639281_1	623281.0	153833.0
ERR2639281_2	626703.0	150411.0
ERR2639282_1	1898044.0	1578000.0
ERR2639282_2	1879920.0	1596124.0
ERR2639283_1	1823333.0	1575357.0
ERR2639283_2	1858588.0	1540102.0
ERR2639284_1	1055670.0	467472.0
ERR2639284_2	1095787.0	427355.0
ERR2639285_1	1481513.0	1031285.0
ERR2639285_2	1526649.0	986149.0
ERR2639288_1	731217.0	229626.0
ERR2639288_2	740725.0	220118.0
ERR2639289_1	1123017.0	602197.0
ERR2639289_2	1137399.0	587815.0
ERR2639290_1	1143398.0	619807.0
ERR2639290_2	1195905.0	567300.0
ERR2639291_1	626390.0	271595.0
ERR2639291_2	648365.0	249620.0
ERR2639292_1	1129490.0	732868.0
ERR2639292_2	1185790.0	676568.0
ERR2639293_1	936150.0	532347.0
ERR2639293_2	950290.0	518207.0
ERR2639294_1	953659.0	518259.0
ERR2639294_2	964397.0	507521.0
ERR2639295_1	969487.0	537236.0
ERR2639295_2	980112.0	526611.0
ERR2639296_1	957628.0	551427.0
ERR2639296_2	967395.0	541660.0
ERR2639297_1	530984.0	123071.0
ERR2639297_2	535207.0	118848.0
ERR2639298_1	520407.0	113745.0
ERR2639298_2	524405.0	109747.0
ERR2639299_1	514044.0	104062.0
ERR2639299_2	516534.0	101572.0
ERR2639300_1	591532.0	138678.0
ERR2639300_2	594747.0	135463.0
ERR2639301_1	907377.0	368117.0
ERR2639301_2	920320.0	355174.0
ERR2639302_1	953542.0	546217.0
ERR2639302_2	964603.0	535156.0
ERR2639303_1	937047.0	518180.0
ERR2639303_2	949218.0	506009.0
ERR2639304_1	2021915.0	1585068.0
ERR2639304_2	1983424.0	1623559.0
ERR2639305_1	2094787.0	1722933.0
ERR2639305_2	2069801.0	1747919.0
ERR2639306_1	1305093.0	760994.0
ERR2639306_2	1304679.0	761408.0
ERR2639307_1	2053068.0	1462651.0
ERR2639307_2	1946782.0	1568937.0
ERR2639308_1	1803651.0	1049996.0
ERR2639308_2	1744232.0	1109415.0
ERR2639309_1	2280606.0	2231060.0
ERR2639309_2	2269044.0	2242622.0
ERR2639310_1	1947778.0	1519178.0
ERR2639310_2	1936000.0	1530956.0
ERR2639312_1	2102111.0	1736032.0
ERR2639312_2	2077956.0	1760187.0
ERR2639313_1	1833320.0	1116631.0
ERR2639313_2	1815296.0	1134655.0
ERR2639314_1	1485236.0	651323.0
ERR2639314_2	1421502.0	715057.0
ERR2639315_1	1893915.0	1395192.0
ERR2639315_2	1878442.0	1410665.0
ERR2639316_1	1861693.0	1489865.0
ERR2639316_2	1910310.0	1441248.0
ERR2639317_1	1888520.0	1543192.0
ERR2639317_2	1945805.0	1485907.0
ERR2639318_1	1230993.0	571845.0
ERR2639318_2	1258118.0	544720.0
ERR2639319_1	1361162.0	580620.0
ERR2639319_2	1369807.0	571975.0
ERR2639320_1	1659990.0	952036.0
ERR2639320_2	1669256.0	942770.0
ERR2639321_1	1359063.0	673767.0
ERR2639321_2	1374351.0	658479.0
ERR2796909_1	840483.0	248333.0
