Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
DRR089062_1	DRR089062_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1157697.0	0.0	35-301	51.0	75.43038679546392	269.99027033843913	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass	
DRR089062_2	DRR089062_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1157697.0	0.0	35-301	52.0	80.81614730053866	273.1496168686625	pass	fail	pass	fail	warn	pass	warn	pass	pass	pass	
DRR138472_2	DRR138472_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1647610.0	0.0	251.0	49.0	89.57544351554107	251.0	pass	fail	pass	warn	warn	pass	pass	pass	pass	fail	pass
DRR165509_1	DRR165509_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1619943.0	0.0	251.0	49.0	88.1310757171295	251.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	fail	pass
DRR165509_2	DRR165509_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1619943.0	0.0	251.0	50.0	89.06636344791636	251.0	pass	warn	pass	warn	warn	pass	pass	pass	pass	fail	pass
ERR1351670_1	ERR1351670_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2319462.0	0.0	35-251	51.0	64.38855418467824	241.0295473691744	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass	warn
ERR1351670_2	ERR1351670_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2319462.0	0.0	35-251	51.0	69.26591184556614	241.25388689273635	pass	fail	pass	warn	warn	pass	warn	warn	pass	pass	pass
ERR1656423_1	ERR1656423_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	669971.0	0.0	35-301	50.0	85.03088597497269	274.3820762391208	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass	pass
ERR1656423_2	ERR1656423_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	669971.0	0.0	35-301	51.0	86.50861427448837	275.8743885929391	pass	fail	pass	warn	fail	pass	warn	pass	pass	pass	pass
ERR1720662_1	ERR1720662_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12024075.0	0.0	101.0	49.0	48.786386951219725	101.0	pass	pass	pass	pass	warn	pass	pass	fail	fail	pass	warn
ERR1720662_2	ERR1720662_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12024075.0	0.0	101.0	50.0	55.95297558625604	101.0	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass	pass
ERR1720663_1	ERR1720663_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16193579.0	0.0	101.0	49.0	39.599725678201494	101.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass	warn
ERR1720663_2	ERR1720663_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16193579.0	0.0	101.0	49.0	48.517428590727604	101.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass	pass
ERR1720664_1	ERR1720664_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20581688.0	0.0	101.0	48.0	34.183822750458845	101.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass	warn
ERR1720664_2	ERR1720664_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20581688.0	0.0	101.0	49.0	50.96453732223938	101.0	pass	pass	pass	fail	warn	pass	pass	warn	fail	pass	pass
ERR1720665_1	ERR1720665_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15231649.0	0.0	101.0	49.0	40.608370659830506	101.0	pass	pass	pass	warn	warn	pass	pass	fail	fail	pass	warn
ERR1720665_2	ERR1720665_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15231649.0	0.0	101.0	49.0	48.79652638009443	101.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	pass
ERR1725935_1	ERR1725935_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1851958.0	0.0	35-301	49.0	62.67011618960664	292.1304997197561	pass	fail	pass	warn	fail	pass	warn	warn	fail	pass	pass
