"Sample Name","Sample Acc","Lane Name","Lane Acc","Supplier Name","Public Name",Strain,"Study ID","Study Accession"
E_8,ERS038927,6649_2#1,ERR049156,NA,"Escherichia coli E 8",NA,1867,ERP000733
E_54,ERS038929,6649_2#3,ERR049158,NA,"Escherichia coli E 54",NA,1867,ERP000733
E_70,ERS038930,6649_2#4,ERR049159,NA,"Escherichia coli E 70",NA,1867,ERP000733
E_71,ERS038931,6649_2#5,ERR049160,NA,"Escherichia coli E 71",NA,1867,ERP000733
E_88,ERS038932,6649_2#6,ERR049161,NA,"Escherichia coli E 88",NA,1867,ERP000733
E_333,ERS038933,6649_2#7,ERR049162,NA,"Escherichia coli E 333",NA,1867,ERP000733
E_344,ERS038934,6649_2#8,ERR049163,NA,"Escherichia coli E 344",NA,1867,ERP000733
E_370,ERS038935,6649_2#9,ERR049164,NA,"Escherichia coli E 370",NA,1867,ERP000733
E_416,ERS038936,6649_2#10,ERR049165,NA,"Escherichia coli E 416",NA,1867,ERP000733
E_471,ERS038937,6649_2#11,ERR049166,NA,"Escherichia coli E 471",NA,1867,ERP000733
E_517,ERS038938,6649_2#12,ERR049167,NA,"Escherichia coli E 517",NA,1867,ERP000733
E_554,ERS038939,6649_2#13,ERR049168,NA,"Escherichia coli E 554",NA,1867,ERP000733
E_562,ERS038940,6649_2#14,ERR049169,NA,"Escherichia coli E 562",NA,1867,ERP000733
E_563,ERS038941,6649_2#15,ERR049170,NA,"Escherichia coli E 563",NA,1867,ERP000733
E_632,ERS038942,6649_2#16,ERR049171,NA,"Escherichia coli E 632",NA,1867,ERP000733
E_636,ERS038943,6649_2#17,ERR049172,NA,"Escherichia coli E 636",NA,1867,ERP000733
E_655,ERS038944,6649_2#18,ERR049173,NA,"Escherichia coli E 655",NA,1867,ERP000733
E_863,ERS038945,6649_2#19,ERR049174,NA,"Escherichia coli E 863",NA,1867,ERP000733
E_877,ERS038946,6649_2#20,ERR049175,NA,"Escherichia coli E 877",NA,1867,ERP000733
E_879,ERS038947,6649_2#21,ERR049176,NA,"Escherichia coli E 879",NA,1867,ERP000733
