accession,lane,source,country,year,study
ERR134513,7748_7_1,stool,Gambia,2008,Ingle
ERR134514,7748_7_2,stool,Gambia,2008,Ingle
ERR134515,7748_7_3,stool,Gambia,2008,Ingle
ERR134516,7748_7_4,stool,Gambia,2009,Ingle
ERR134517,7748_7_5,stool,Gambia,2009,Ingle
ERR134518,7748_7_6,stool,Gambia,2009,Ingle
ERR134519,7748_7_7,stool,Mali,2008,Ingle
ERR134520,7748_7_8,stool,Mali,2008,Ingle
ERR134521,7748_7_9,stool,Mali,2008,Ingle
ERR134522,7748_7_10,stool,Mali,2009,Ingle
ERR134523,7748_7_11,stool,Mali,2009,Ingle
ERR134524,7748_7_12,stool,Mali,2009,Ingle
ERR134525,7748_7_13,stool,Mali,2009,Ingle
ERR134526,7748_7_14,stool,Mali,2009,Ingle
ERR134527,7748_7_15,stool,Mali,2009,Ingle
ERR134528,7748_7_16,stool,Mali,2010,Ingle
ERR134529,7748_7_17,stool,Mozambique,2008,Ingle
ERR134530,7748_7_18,stool,Mozambique,2008,Ingle
ERR134531,7748_7_19,stool,Mozambique,2009,Ingle
ERR134532,7748_7_20,stool,Kenya,2009,Ingle
ERR134533,7748_7_21,stool,Kenya,2009,Ingle
ERR134534,7748_7_22,stool,Kenya,2009,Ingle
ERR134535,7748_7_23,stool,Kenya,2009,Ingle
ERR134536,7748_7_24,stool,Kenya,2009,Ingle
ERR134537,7748_7_25,stool,Kenya,2010,Ingle
ERR134538,7748_7_26,stool,Kenya,2010,Ingle
ERR134539,7748_7_27,stool,India,2008,Ingle
ERR134540,7748_7_28,stool,India,2008,Ingle
ERR134541,7748_7_29,stool,India,2008,Ingle
ERR134542,7748_7_30,stool,India,2008,Ingle
ERR134543,7748_7_31,stool,India,2009,Ingle
ERR134544,7748_7_32,stool,India,2009,Ingle
ERR134545,7748_7_33,stool,India,2009,Ingle
ERR134546,7748_7_34,stool,India,2009,Ingle
ERR134547,7748_7_35,stool,India,2009,Ingle
ERR134548,7748_7_36,stool,India,2010,Ingle
ERR134549,7748_7_37,stool,India,2010,Ingle
ERR134550,7748_7_38,stool,India,2010,Ingle
ERR134551,7748_7_39,stool,India,2010,Ingle
ERR134552,7748_7_40,stool,India,2010,Ingle
ERR134553,7748_7_41,stool,India,2010,Ingle
ERR134554,7748_7_42,stool,Bangladesh,2009,Ingle
ERR134555,7748_7_43,stool,Pakistan,2008,Ingle
ERR134556,7748_7_44,stool,Pakistan,2008,Ingle
ERR134558,7748_7_46,stool,Pakistan,2009,Ingle
ERR134559,7748_7_47,stool,Pakistan,2010,Ingle
ERR134560,7748_7_48,stool,Pakistan,2010,Ingle
ERR137782,7790_1_49,stool,Mali,2008,Ingle
ERR137783,7790_1_50,stool,Mali,2008,Ingle
ERR137784,7790_1_51,stool,Mali,2009,Ingle
ERR137785,7790_1_52,stool,Kenya,2008,Ingle
ERR137786,7790_1_53,stool,Kenya,2008,Ingle
ERR137787,7790_1_54,stool,Kenya,2008,Ingle
ERR137789,7790_1_56,stool,Kenya,2008,Ingle
ERR137790,7790_1_57,stool,Kenya,2008,Ingle
ERR137791,7790_1_58,stool,Kenya,2008,Ingle
ERR137792,7790_1_59,stool,Kenya,2009,Ingle
ERR137793,7790_1_60,stool,Kenya,2009,Ingle
ERR137794,7790_1_61,stool,Kenya,2009,Ingle
ERR137795,7790_1_62,stool,Kenya,2009,Ingle
ERR137796,7790_1_63,stool,Kenya,2009,Ingle
ERR137797,7790_1_64,stool,Kenya,2009,Ingle
ERR137798,7790_1_65,stool,Kenya,2009,Ingle
ERR137799,7790_1_66,stool,Kenya,2010,Ingle
ERR137800,7790_1_67,stool,Kenya,2010,Ingle
ERR137801,7790_1_68,stool,India,2009,Ingle
ERR137802,7790_1_69,stool,India,2009,Ingle
ERR137803,7790_1_70,stool,India,2009,Ingle
ERR137804,7790_1_71,stool,Pakistan,2009,Ingle
ERR137805,7790_1_72,stool,Pakistan,2009,Ingle
ERR137806,7790_1_73,stool,Pakistan,2009,Ingle
ERR137807,7790_1_74,stool,Gambia,2008,Ingle
ERR137808,7790_1_75,stool,Gambia,2009,Ingle
ERR137809,7790_1_76,stool,Gambia,2009,Ingle
ERR137810,7790_1_77,stool,Gambia,2009,Ingle
ERR137812,7790_1_79,stool,Mali,2008,Ingle
ERR137813,7790_1_80,stool,Mali,2008,Ingle
ERR137814,7790_1_81,stool,Mali,2008,Ingle
ERR137815,7790_1_82,stool,Mali,2008,Ingle
ERR137816,7790_1_83,stool,Mali,2009,Ingle
ERR137817,7790_1_84,stool,Mali,2009,Ingle
ERR137818,7790_1_85,stool,Mali,2009,Ingle
ERR137819,7790_1_86,stool,Mozambique,2008,Ingle
ERR137820,7790_1_87,stool,Mozambique,2008,Ingle
ERR137821,7790_1_88,stool,Kenya,2009,Ingle
ERR137822,7790_1_89,stool,Kenya,NA,Ingle
ERR137823,7790_1_90,stool,Kenya,2008,Ingle
ERR137824,7790_1_91,stool,Kenya,2008,Ingle
ERR137825,7790_1_92,stool,Kenya,2009,Ingle
ERR137826,7790_1_93,stool,Kenya,2009,Ingle
ERR137827,7790_1_94,stool,Kenya,2009,Ingle
ERR137828,7790_1_95,stool,India,2008,Ingle
ERR137829,7790_1_96,stool,India,2009,Ingle
ERR124653,7553_7_61,stool,India,2009,Ingle
ERR124654,7553_7_62,stool,India,2009,Ingle
ERR124655,7553_7_63,stool,India,2010,Ingle
ERR124656,7553_7_64,stool,India,2010,Ingle
ERR124657,7553_7_65,stool,Kenya,2008,Ingle
ERR124658,7553_7_66,stool,Mali,2008,Ingle
ERR124659,7553_7_67,stool,Mali,2009,Ingle
ERR124660,7553_7_68,stool,Mali,2010,Ingle
ERR124661,7553_7_69,stool,Mali,2010,Ingle
ERR124662,7553_7_70,stool,Kenya,2009,Ingle
ERR124663,7553_7_71,stool,India,2009,Ingle
ERR124664,7553_7_72,stool,India,2010,Ingle
ERR178148,8205_3_1,stool,Mali,2008,Ingle
ERR178149,8205_3_2,stool,Mali,2009,Ingle
ERR178150,8205_3_3,stool,Mali,2008,Ingle
ERR178151,8205_3_4,stool,Mali,2008,Ingle
ERR178152,8205_3_5,stool,Mali,2009,Ingle
ERR178153,8205_3_6,stool,Mali,2009,Ingle
ERR178154,8205_3_7,stool,Mozambique,2009,Ingle
ERR178155,8205_3_8,stool,Kenya,2008,Ingle
ERR178156,8205_3_9,stool,Kenya,2009,Ingle
ERR178157,8205_3_10,stool,Kenya,2009,Ingle
ERR178158,8205_3_11,stool,Kenya,2009,Ingle
ERR178159,8205_3_12,stool,Kenya,2010,Ingle
ERR178161,8205_3_14,stool,Kenya,2010,Ingle
ERR178164,8205_3_17,stool,India,2008,Ingle
ERR178165,8205_3_18,stool,India,2009,Ingle
ERR178166,8205_3_19,stool,India,2009,Ingle
ERR178167,8205_3_20,stool,India,2009,Ingle
ERR178168,8205_3_21,stool,India,2009,Ingle
ERR178169,8205_3_22,stool,India,2010,Ingle
ERR178170,8205_3_23,stool,India,2010,Ingle
ERR178171,8205_3_24,stool,India,2010,Ingle
ERR178172,8205_3_25,stool,Bangladesh,2009,Ingle
ERR178173,8205_3_26,stool,Pakistan,2008,Ingle
ERR178174,8205_3_27,stool,Pakistan,2009,Ingle
ERR178175,8205_3_28,stool,Pakistan,2009,Ingle
ERR178176,8205_3_29,stool,Gambia,2008,Ingle
ERR178177,8205_3_30,stool,Kenya,2008,Ingle
ERR178178,8205_3_31,stool,Kenya,2008,Ingle
ERR178179,8205_3_32,stool,Kenya,2008,Ingle
ERR178180,8205_3_33,stool,Kenya,2009,Ingle
ERR178181,8205_3_34,stool,Kenya,2009,Ingle
ERR178182,8205_3_35,stool,Kenya,2009,Ingle
ERR178183,8205_3_36,stool,Kenya,2009,Ingle
ERR178184,8205_3_37,stool,Kenya,2010,Ingle
ERR178185,8205_3_38,stool,Pakistan,NA,Ingle
ERR178186,8205_3_39,stool,Pakistan,2009,Ingle
ERR178187,8205_3_40,stool,Pakistan,2010,Ingle
ERR178188,8205_3_41,stool,Pakistan,2010,Ingle
ERR178189,8205_3_42,stool,Pakistan,2010,Ingle
ERR178191,8205_3_44,stool,Pakistan,2010,Ingle
ERR178192,8205_3_45,stool,Gambia,2010,Ingle
ERR178193,8205_3_46,stool,Mozambique,2008,Ingle
