accession,source,country,year
SRR1314503,Human,United States,2012
SRR1314258,Human,United States,2009
ERR1263950,Laboratory,United Kingdom,2015
ERR1263949,Laboratory,United Kingdom,2015
ERR1263948,Laboratory,United Kingdom,2015
ERR1263947,Laboratory,United Kingdom,2015
ERR1263946,Human,United Kingdom,2012
SRR3951679,Companion Animal,United States,2004
SRR3466175,Companion Animal,United States,2004
SRR4101520,Companion Animal,United States,2004
SRR3957125,Companion Animal,United States,2004
SRR3574326,Human,United Kingdom,2016
SRR3098780,Human,United States,2003
SRR3095388,Human,United States,2015
SRR1508895,Human,Nepal,2012
SRR1508893,Human,Nepal,2012
SRR3929024,Human,United States,2016
ERR1195513,NA,Germany,2014
ERR712769,Human,Germany,2014
ERR712691,Human,Germany,2014
ERR712662,Human,Germany,2014
ERR712617,Human,Germany,2014
ERR712516,Human,Germany,2013
ERR712515,Human,Germany,2013
SRR4294836,Human,United States,2016
SRR5024314,Human,United Kingdom,2016
SRR5153290,Human,China,2014
SRR5153287,Human,China,2014
SRR5153286,Human,China,2014
SRR5153285,Human,China,2014
SRR5153284,Human,China,2014
SRR5153283,Human,China,2014
SRR5153282,Human,China,2014
SRR5153281,Human,China,2013
DRR061467,Human,United States,2010
SRR5714074,Human,Canada,2014
DRR075640,Human,Nepal,2013
DRR075633,Human,Nepal,2013
DRR075623,Human,Nepal,2013
DRR075620,Human,Nepal,2013
DRR075612,Human,Nepal,2013
ERR1912635,Human,Norway,2000
ERR1912634,Human,Norway,2000
DRR102586,Human,Japan,2007
ERR4452358,NA,Ethiopia,2016
ERR4452356,NA,Ethiopia,2016
ERR4426043,Human,Sweden,2013
ERR4452361,NA,Ethiopia,2016
ERR4452375,NA,Ethiopia,2016
ERR4452442,NA,Ethiopia,2016
ERR4452380,NA,Ethiopia,2016
SRR6376588,Wild Animal,United States,2016
ERR2203409,ND,Germany,2015
SRR6451281,Human,Finland,2015
SRR6451282,Companion Animal,Finland,2015
SRR6451283,Companion Animal,Finland,2015
SRR6451284,Companion Animal,Finland,2015
SRR6451285,Companion Animal,Finland,2015
SRR6451286,Companion Animal,Finland,2015
SRR6474927,Human,China,2016
SRR6686320,Human,United States,2015
SRR6703063,Human,Canada,2011
SRR6892789,Human,United States,2015
SRR6892809,Human,United States,2014
SRR6903163,Livestock,United States,2000
SRR6942788,Human,China,2016
SRR7026303,Human,China,2014
SRR7042020,Companion Animal,United States,1999
SRR7284874,Livestock,United States,2002
SRR7500678,Livestock,United States,2000
SRR7716571,Human,China,2018
SRR7716573,Human,China,2018
SRR7716574,Human,China,2018
SRR7716577,Human,China,2017
SRR7724616,Wild Animal,Australia,2017
SRR7724633,Wild Animal,Australia,2017
SRR7826035,Aquatic Animal,United States,2016
SRR7827099,Human,United Kingdom,2018
SRR7869087,Environment,United States,2003
SRR7870887,Animal Feed,United States,2003
SRR7870871,Environment,United States,2002
SRR7870868,Environment,United States,2003
SRR7870867,Animal Feed,United States,2002
SRR7943899,Human,United Kingdom,2018
SRR8071933,Human,United States,2013
ERR2796921,Human,Switzerland,2011
SRR8187980,Companion Animal,Germany,2009
SRR6515382,Human,United States,2016
SRR6515383,Human,United States,2016
SRR8397582,Livestock,United States,2018
SRR6455967,Human,Australia,2014
SRR6455974,Human,Australia,2008
SRR6455982,Human,Australia,2007
SRR6455985,Human,Australia,2007
SRR6065849,Human,China,2016
SRR6065798,Human,China,2016
SRR6067099,Human,China,2016
SRR4302246,Human,Singapore,2015
SRR4302198,Human,Singapore,2014
SRR4302082,Human,Singapore,2015
SRR8767398,Companion Animal,United States,2018
ERR2935754,Human,Switzerland,2014
ERR2935635,Human,Switzerland,2014
SRR9051977,Human,Sri Lanka,2017
SRR9113455,Human,Oman,2015
SRR9113462,Human,Oman,2015
SRR9113487,Human,Oman,2015
ERR3333495,Human,France,2007
