lane,ref_bases,bases_mapped,depth_sum
./SRR6942790_filtered/snps.bam,4897877,0,
./28099_1#106/snps.bam,4897877,0,
./SRR10429348_filtered/snps.bam,4897877,4777108,198699191
./ERR3333495_filtered/snps.bam,4897877,4707124,313633471
./SRR11038970_filtered/snps.bam,4897877,4549830,336798942
./SRR10163891_filtered/snps.bam,4897877,4707015,178887978
./SRR10094626_filtered/snps.bam,4897877,4740228,77195669
./SRR10512537_filtered/snps.bam,4897877,4777876,305631352
./DRR075640_filtered/snps.bam,4897877,4794900,186315011
./SRR7869087_filtered/snps.bam,4897877,4794126,284234356
./SRR4302246_filtered/snps.bam,4897877,4897232,168693698
./SRR13085650_filtered/snps.bam,4897877,4655565,284580567
./SRR12903893_filtered/snps.bam,4897877,4780224,203628496
./SRR11347836_filtered/snps.bam,4897877,4848018,95721777
./SRR6703063_filtered/snps.bam,4897877,4702689,308309610
./SRR12204354_filtered/snps.bam,4897877,4817568,191400338
./SRR7870887_filtered/snps.bam,4897877,4795055,234114690
./SRR4101520_filtered/snps.bam,4897877,4719254,568838027
./SRR10094627_filtered/snps.bam,4897877,4742129,144927904
./SRR10512503_filtered/snps.bam,4897877,4777673,373206279
./SRR9620883_filtered/snps.bam,4897877,4795910,258057684
./SRR12519146_filtered/snps.bam,4897877,4582910,192868962
./SRR10006059_filtered/snps.bam,4897877,4709957,102705220
./SRR11486736_filtered/snps.bam,4897877,4776942,253951595
./SRR6515383_filtered/snps.bam,4897877,4815503,397114856
./SRR10512508_filtered/snps.bam,4897877,4777740,371916209
./28099_1#94/snps.bam,4897877,4691253,200671954
./ERR2203409_filtered/snps.bam,4897877,4722286,398842716
./28099_1#353/snps.bam,4897877,4529954,351432963
./SRR6892809_filtered/snps.bam,4897877,4629673,144286485
./SRR12009590_filtered/snps.bam,4897877,4731866,88945067
./28099_2#130/snps.bam,4897877,4510974,250965719
./DRR102586_filtered/snps.bam,4897877,4719911,340762828
./SRR12204377_filtered/snps.bam,4897877,4816121,84440867
./ERR3393411_filtered/snps.bam,4897877,4514452,79474509
./SRR12902581_filtered/snps.bam,4897877,4748381,237610382
./SRR9734793_filtered/snps.bam,4897877,4705094,312634923
./SRR11727679_filtered/snps.bam,4897877,4756195,134068436
./28099_1#315/snps.bam,4897877,4544368,279769365
./SRR3929024_filtered/snps.bam,4897877,4654100,356729018
./26141_1#236/snps.bam,4897877,4580483,312252630
./26141_1#207/snps.bam,4897877,4536660,345731470
./SRR12517471_filtered/snps.bam,4897877,4755497,331316637
./SRR11486738_filtered/snps.bam,4897877,4780568,377665259
./SRR4294836_filtered/snps.bam,4897877,4669754,308303129
./SRR11454062_filtered/snps.bam,4897877,4537240,264203353
./SRR12352183_filtered/snps.bam,4897877,4797211,366371797
./SRR12204417_filtered/snps.bam,4897877,4708973,106027264
./SRR10006107_filtered/snps.bam,4897877,4699457,342724683
./SRR11727696_filtered/snps.bam,4897877,4805831,199387140
./SRR10665524_filtered/snps.bam,4897877,4775757,389687914
./SRR7826035_filtered/snps.bam,4897877,4795054,175363345
./SRR11454319_filtered/snps.bam,4897877,4636319,179498461
./ERR712617_filtered/snps.bam,4897877,4773077,509242335
./SRR12570020_filtered/snps.bam,4897877,4647800,223420166
./SRR6451283_filtered/snps.bam,4897877,4765602,405470074
./SRR13158550_filtered/snps.bam,4897877,4585367,469586956
./SRR11454284_filtered/snps.bam,4897877,4565001,282690930
./SRR10429356_filtered/snps.bam,4897877,4776292,193856995
./28099_2#291/snps.bam,4897877,4522928,258834419
./ERR3393396_filtered/snps.bam,4897877,4719021,304550795
