lane,ref_bases,bases_mapped,depth_sum
./28099_1#141/snps.bam,4711093,4542983,263944991
./ERR4014049_filtered/snps.bam,4711093,4497856,66066901
./ERR2935696_filtered/snps.bam,4711093,4461915,130020737
./SRR10188457_filtered/snps.bam,4711093,4602393,299339706
./SRR5806867_filtered/snps.bam,4711093,4686970,322622654
./SRR958487_filtered/snps.bam,4711093,4470573,199867750
./SRR11454265_filtered/snps.bam,4711093,4575918,168206916
./SRR10188443_filtered/snps.bam,4711093,4600810,260649324
./SRR11454085_filtered/snps.bam,4711093,4641865,125808077
./ERR2639296_filtered/snps.bam,4711093,4560226,325170475
./SRR785630_filtered/snps.bam,4711093,4470851,276060414
./SRR6791869_filtered/snps.bam,4711093,4566567,252414271
./SRR8776588_filtered/snps.bam,4711093,4478540,335356292
./SRR11484575_filtered/snps.bam,4711093,4453003,243064646
./ERR1656423_filtered/snps.bam,4711093,4506521,250507460
./SRR11402693_filtered/snps.bam,4711093,4556424,332770644
./ERR3393401_filtered/snps.bam,4711093,4567450,88399759
./SRR13143249_filtered/snps.bam,4711093,4549212,106454421
./ERR2639270_filtered/snps.bam,4711093,4565165,255694715
./SRR13062328_filtered/snps.bam,4711093,4544708,321191242
./SRR8095656_filtered/snps.bam,4711093,4512648,164340386
./SRR10188467_filtered/snps.bam,4711093,4602692,316634371
./SRR8502423_filtered/snps.bam,4711093,4469692,143231409
./SRR13001302_filtered/snps.bam,4711093,4512682,147422379
./ERR2639320_filtered/snps.bam,4711093,4463446,426180743
./ERR2639277_filtered/snps.bam,4711093,4564727,165778634
./SRR10126801_filtered/snps.bam,4711093,4556126,350296923
./SRR8776587_filtered/snps.bam,4711093,4513918,330172904
./ERR2639285_filtered/snps.bam,4711093,4569995,381766251
./ERR2019230_filtered/snps.bam,4711093,4562247,186497456
./SRR7211943_filtered/snps.bam,4711093,4557740,107148518
./ERR2639299_filtered/snps.bam,4711093,4561203,152996704
./ERR2639275_filtered/snps.bam,4711093,4565011,479983512
./SRR10270326_filtered/snps.bam,4711093,4518885,221266687
./28099_1#256/snps.bam,4711093,4543212,280897705
./ERR4342172_filtered/snps.bam,4711093,4533045,261983348
./SRR12902551_filtered/snps.bam,4711093,4593649,248909857
./SRR12495202_filtered/snps.bam,4711093,4470708,159380615
./SRR8737989_filtered/snps.bam,4711093,4509821,346526305
./SRR785629_filtered/snps.bam,4711093,4469448,276678648
./SRR13000489_filtered/snps.bam,4711093,4561177,155028078
./SRR10376981_filtered/snps.bam,4711093,4541529,261667906
./SRR6455995_filtered/snps.bam,4711093,4609721,230259581
./28099_1#149/snps.bam,4711093,4551476,296741604
./SRR8916349_filtered/snps.bam,4711093,4521346,422360519
./ERR2935295_filtered/snps.bam,4711093,4568681,147409996
./SRR8996023_filtered/snps.bam,4711093,4536303,304630334
./SRR11901861_filtered/snps.bam,4711093,4555440,182987748
./SRR10188480_filtered/snps.bam,4711093,4602505,308285479
./SRR4017900_filtered/snps.bam,4711093,4546205,314751454
./ERR2639292_filtered/snps.bam,4711093,4548003,380473652
