file,ref_len,mapped_bases,snp_dist_to_ref
./SRR4101520_filtered/snps.aligned.fa,46253,3114,53
./SRR10512537_filtered/snps.aligned.fa,46253,5458,1
./SRR6515383_filtered/snps.aligned.fa,46253,5888,1
./ERR2203409_filtered/snps.aligned.fa,46253,2139,1
./ERR3333495_filtered/snps.aligned.fa,46253,3274,53
./SRR10429348_filtered/snps.aligned.fa,46253,4187,1
./SRR12902581_filtered/snps.aligned.fa,46253,5170,1
./SRR11486738_filtered/snps.aligned.fa,46253,5156,1
./SRR10512508_filtered/snps.aligned.fa,46253,5160,1
./SRR6942788_filtered/snps.aligned.fa,46253,46252,5
./SRR11038970_filtered/snps.aligned.fa,46253,41813,10
./SRR4294836_filtered/snps.aligned.fa,46253,1471,2
./SRR11454062_filtered/snps.aligned.fa,46253,1839,45
./SRR10512503_filtered/snps.aligned.fa,46253,5427,1
./SRR11347836_filtered/snps.aligned.fa,46253,5129,1
./SRR12204354_filtered/snps.aligned.fa,46253,5480,2
./SRR13085650_filtered/snps.aligned.fa,46253,2457,2
./SRR10094626_filtered/snps.aligned.fa,46253,36115,12
./28099_1#353/snps.aligned.fa,46253,2423,57
./28099_1#315/snps.aligned.fa,46253,3686,97
./SRR11486736_filtered/snps.aligned.fa,46253,4895,1
./DRR102586_filtered/snps.aligned.fa,46253,2139,1
./SRR5153286_filtered/snps.aligned.fa,46253,46193,4
./SRR4302246_filtered/snps.aligned.fa,46253,6730,54
./DRR075640_filtered/snps.aligned.fa,46253,7585,1
./SRR9734793_filtered/snps.aligned.fa,46253,46166,4
./SRR5153290_filtered/snps.aligned.fa,46253,46174,4
./SRR7869087_filtered/snps.aligned.fa,46253,5218,1
./SRR10006107_filtered/snps.aligned.fa,46253,3650,55
./ERR712617_filtered/snps.aligned.fa,46253,2710,1
./ERR3375634_filtered/snps.aligned.fa,46253,3249,52
./SRR7870887_filtered/snps.aligned.fa,46253,5117,1
./26141_1#236/snps.aligned.fa,46253,3156,52
./28099_1#106/snps.aligned.fa,46253,3116,48
./SRR13158550_filtered/snps.aligned.fa,46253,6346,43
./SRR9620883_filtered/snps.aligned.fa,46253,5071,1
./SRR6451283_filtered/snps.aligned.fa,46253,3099,57
./SRR12519146_filtered/snps.aligned.fa,46253,5657,40
./SRR12352183_filtered/snps.aligned.fa,46253,5133,1
./SRR10094627_filtered/snps.aligned.fa,46253,36577,12
./SRR3929024_filtered/snps.aligned.fa,46253,44189,7
./SRR6942790_filtered/snps.aligned.fa,46253,46175,9
./28099_1#94/snps.aligned.fa,46253,2316,40
./SRR10163891_filtered/snps.aligned.fa,46253,2097,1
./28099_2#130/snps.aligned.fa,46253,3020,101
./SRR6703063_filtered/snps.aligned.fa,46253,2640,14
./SRR10665524_filtered/snps.aligned.fa,46253,5182,1
./SRR7716573_filtered/snps.aligned.fa,46253,46248,4
./SRR5153282_filtered/snps.aligned.fa,46253,46215,4
./SRR7716574_filtered/snps.aligned.fa,46253,46167,5
./SRR12903893_filtered/snps.aligned.fa,46253,9955,45
./ERR712769_filtered/snps.aligned.fa,46253,3851,63
./SRR11727679_filtered/snps.aligned.fa,46253,5351,4
./26141_1#207/snps.aligned.fa,46253,2478,57
./SRR6892809_filtered/snps.aligned.fa,46253,2654,2
./SRR3466175_filtered/snps.aligned.fa,46253,3089,46
./SRR12570020_filtered/snps.aligned.fa,46253,4659,4
./SRR10006059_filtered/snps.aligned.fa,46253,3402,33
./ERR2796921_filtered/snps.aligned.fa,46253,2138,1
